2026/09/17 14:52:50.285, 16.58, 10, 0, 27
2026/09/17 14:52:55.297, 18.08, 720, 0, 27
2026/09/17 14:53:00.298, 89.40, 39538, 5, 29
2026/09/17 14:53:05.299, 82.50, 55302, 0, 29
2026/09/17 14:53:10.299, 600.18, 56304, 100, 49
2026/09/17 14:53:15.300, 600.13, 56304, 100, 53
2026/09/17 14:53:20.313, 600.04, 56304, 100, 56
2026/09/17 14:53:25.325, 602.69, 56310, 100, 58
2026/09/17 14:53:30.338, 599.94, 56310, 100, 60
2026/09/17 14:53:35.351, 600.19, 56310, 100, 63
2026/09/17 14:53:40.363, 415.67, 56318, 52, 60
2026/09/17 14:53:45.364, 600.24, 56318, 100, 66
2026/09/17 14:53:50.377, 600.08, 56318, 100, 68
2026/09/17 14:53:55.389, 599.96, 56318, 100, 70
2026/09/17 14:54:00.402, 599.95, 56318, 100, 71
2026/09/17 14:54:05.414, 599.88, 56318, 100, 72
2026/09/17 14:54:10.427, 600.09, 56318, 100, 73
2026/09/17 14:54:15.439, 600.07, 56310, 100, 73
2026/09/17 14:54:20.452, 600.03, 56310, 100, 75
2026/09/17 14:54:25.465, 600.02, 56310, 100, 76
2026/09/17 14:54:30.477, 601.71, 56312, 100, 76
2026/09/17 14:54:35.490, 600.02, 56312, 100, 77
2026/09/17 14:54:40.503, 600.10, 56312, 100, 78
2026/09/17 14:54:45.515, 582.90, 55750, 74, 70
2026/09/17 14:54:50.515, 599.80, 56310, 100, 79
2026/09/17 14:54:55.528, 600.10, 56310, 100, 79
2026/09/17 14:55:00.528, 599.92, 56310, 100, 79
2026/09/17 14:55:05.541, 600.09, 56312, 100, 80
2026/09/17 14:55:10.541, 600.03, 56312, 100, 80
2026/09/17 14:55:15.547, 599.94, 56312, 100, 80
2026/09/17 14:55:20.559, 233.73, 59306, 100, 77
2026/09/17 14:55:25.560, 558.38, 63246, 100, 78
2026/09/17 14:55:30.566, 587.29, 63246, 100, 78
2026/09/17 14:55:35.566, 588.72, 63246, 100, 79
2026/09/17 14:55:40.567, 572.54, 63246, 100, 79
2026/09/17 14:55:45.567, 573.56, 63264, 100, 79
2026/09/17 14:55:50.568, 579.32, 63264, 100, 78
2026/09/17 14:55:55.581, 560.11, 63264, 100, 79
2026/09/17 14:56:00.581, 563.35, 63264, 100, 80
2026/09/17 14:56:05.594, 511.17, 63264, 83, 75
2026/09/17 14:56:10.594, 574.03, 63264, 100, 80
2026/09/17 14:56:15.595, 463.80, 63264, 100, 80
2026/09/17 14:56:20.595, 554.55, 63264, 100, 80
2026/09/17 14:56:25.595, 592.80, 63264, 100, 81
2026/09/17 14:56:30.596, 528.97, 63264, 99, 80
2026/09/17 14:56:35.608, 592.75, 63264, 100, 81
2026/09/17 14:56:40.614, 576.44, 63264, 100, 80
2026/09/17 14:56:45.626, 512.08, 63264, 100, 80
2026/09/17 14:56:50.627, 577.01, 63264, 100, 80
2026/09/17 14:56:55.627, 578.33, 63264, 100, 80
2026/09/17 14:57:00.628, 594.22, 63264, 100, 82
2026/09/17 14:57:05.628, 579.62, 63264, 100, 81
2026/09/17 14:57:10.628, 518.62, 63264, 100, 82
2026/09/17 14:57:15.629, 579.97, 63264, 100, 80
2026/09/17 14:57:20.641, 562.82, 63264, 100, 83
2026/09/17 14:57:25.642, 594.26, 63264, 100, 81
2026/09/17 14:57:30.642, 553.45, 63264, 94, 80
2026/09/17 14:57:35.643, 562.84, 63264, 100, 82
2026/09/17 14:57:40.643, 594.23, 63264, 100, 81
2026/09/17 14:57:45.644, 568.48, 63264, 96, 82
2026/09/17 14:57:50.644, 560.81, 63264, 100, 82
2026/09/17 14:57:55.645, 469.58, 63264, 100, 80
2026/09/17 14:58:00.645, 588.96, 63264, 100, 82
2026/09/17 14:58:05.651, 563.18, 63264, 100, 82
2026/09/17 14:58:10.651, 486.04, 63264, 100, 81
2026/09/17 14:58:15.652, 579.51, 63264, 100, 82
2026/09/17 14:58:20.652, 579.97, 63264, 100, 82
2026/09/17 14:58:25.652, 580.85, 63264, 100, 82
2026/09/17 14:58:30.653, 565.11, 63264, 100, 83
2026/09/17 14:58:35.653, 565.80, 63264, 100, 82
2026/09/17 14:58:40.654, 581.71, 63264, 100, 83
2026/09/17 14:58:45.654, 583.28, 63264, 100, 83
2026/09/17 14:58:50.654, 595.72, 63264, 100, 82
2026/09/17 14:58:55.655, 566.17, 63264, 100, 82
2026/09/17 14:59:00.655, 461.11, 63264, 66, 76
2026/09/17 14:59:05.656, 545.55, 63264, 57, 78
2026/09/17 14:59:10.656, 581.07, 63264, 100, 81
2026/09/17 14:59:15.656, 595.01, 63264, 100, 83
2026/09/17 14:59:20.657, 581.39, 63264, 100, 82
2026/09/17 14:59:25.657, 596.72, 63264, 100, 82
2026/09/17 14:59:30.658, 580.98, 63264, 100, 80
2026/09/17 14:59:35.658, 580.38, 63264, 100, 84
2026/09/17 14:59:40.659, 582.76, 63264, 100, 82
2026/09/17 14:59:45.659, 566.47, 63264, 100, 83
2026/09/17 14:59:50.659, 587.85, 63264, 100, 84
2026/09/17 14:59:55.660, 586.82, 63264, 100, 84
2026/09/17 15:00:00.660, 582.96, 63264, 100, 82
2026/09/17 15:00:05.661, 555.30, 63264, 100, 83
2026/09/17 15:00:10.661, 559.93, 63264, 100, 82
2026/09/17 15:00:15.662, 595.58, 63264, 100, 83
2026/09/17 15:00:20.662, 581.75, 63264, 100, 82
2026/09/17 15:00:25.663, 582.21, 63264, 100, 83
2026/09/17 15:00:30.663, 592.68, 63264, 100, 83
2026/09/17 15:00:35.664, 564.53, 63264, 100, 83
2026/09/17 15:00:40.664, 583.09, 63264, 100, 83
2026/09/17 15:00:45.670, 498.45, 63264, 100, 83
2026/09/17 15:00:50.682, 581.34, 63264, 100, 83
2026/09/17 15:00:55.683, 580.05, 63264, 100, 82
2026/09/17 15:01:00.683, 581.97, 63264, 100, 84
2026/09/17 15:01:05.684, 568.22, 63264, 100, 83
2026/09/17 15:01:10.685, 594.80, 63264, 100, 83
2026/09/17 15:01:15.685, 558.22, 63264, 74, 82
2026/09/17 15:01:20.686, 542.40, 63264, 63, 79
2026/09/17 15:01:25.686, 559.04, 63264, 100, 83
2026/09/17 15:01:30.687, 565.17, 63264, 100, 83
2026/09/17 15:01:35.687, 447.99, 63264, 75, 83
2026/09/17 15:01:40.688, 538.17, 63264, 52, 81
2026/09/17 15:01:45.689, 582.91, 63264, 100, 82
2026/09/17 15:01:50.689, 563.32, 63264, 100, 84
2026/09/17 15:01:55.702, 598.41, 63264, 100, 83
2026/09/17 15:02:00.702, 566.84, 63264, 100, 83
2026/09/17 15:02:05.703, 582.16, 63264, 100, 83
2026/09/17 15:02:10.703, 583.73, 63264, 100, 83
2026/09/17 15:02:15.704, 563.52, 63264, 100, 83
2026/09/17 15:02:20.705, 539.79, 63264, 69, 80
2026/09/17 15:02:25.705, 540.42, 63264, 58, 81
2026/09/17 15:02:30.706, 582.74, 63264, 100, 82
2026/09/17 15:02:35.706, 581.11, 63264, 100, 83
2026/09/17 15:02:40.719, 582.06, 63264, 100, 82
2026/09/17 15:02:45.719, 582.39, 63264, 100, 83
2026/09/17 15:02:50.720, 553.47, 63264, 100, 84
2026/09/17 15:02:55.720, 520.88, 63264, 100, 83
2026/09/17 15:03:00.721, 582.06, 63264, 100, 83
2026/09/17 15:03:05.722, 587.66, 63264, 100, 83
2026/09/17 15:03:10.722, 562.24, 63264, 94, 83
2026/09/17 15:03:15.723, 565.16, 63264, 100, 83
2026/09/17 15:03:20.723, 599.60, 63264, 95, 82
2026/09/17 15:03:25.724, 597.30, 63264, 100, 83
2026/09/17 15:03:30.724, 554.98, 63264, 94, 83
2026/09/17 15:03:35.737, 557.08, 63264, 92, 82
2026/09/17 15:03:40.738, 530.55, 63264, 56, 77
2026/09/17 15:03:45.738, 580.67, 63264, 100, 82
2026/09/17 15:03:50.739, 581.66, 63264, 100, 82
2026/09/17 15:03:55.739, 582.12, 63264, 100, 81
2026/09/17 15:04:00.740, 552.77, 63264, 82, 83
2026/09/17 15:04:05.740, 574.20, 63264, 100, 79
2026/09/17 15:04:10.741, 453.25, 63264, 100, 83
2026/09/17 15:04:15.741, 582.24, 63264, 100, 83
2026/09/17 15:04:20.742, 581.57, 63264, 100, 82
2026/09/17 15:04:25.747, 581.35, 63264, 100, 83
2026/09/17 15:04:30.748, 469.31, 63264, 95, 83
2026/09/17 15:04:35.748, 566.07, 63264, 100, 84
2026/09/17 15:04:40.761, 553.23, 63264, 100, 84
2026/09/17 15:04:45.762, 566.16, 63264, 100, 84
2026/09/17 15:04:50.762, 584.80, 63264, 100, 83
2026/09/17 15:04:55.763, 595.10, 63264, 100, 82
2026/09/17 15:05:00.763, 585.78, 63264, 100, 82
2026/09/17 15:05:05.764, 583.98, 63264, 100, 83
2026/09/17 15:05:10.764, 584.91, 63264, 100, 84
2026/09/17 15:05:15.765, 548.77, 63264, 100, 84
2026/09/17 15:05:20.765, 582.35, 63264, 100, 85
2026/09/17 15:05:25.766, 584.43, 63264, 100, 83
2026/09/17 15:05:30.766, 584.18, 63264, 100, 84
2026/09/17 15:05:35.767, 570.57, 63264, 100, 84
2026/09/17 15:05:40.767, 108.01, 57678, 95, 72
2026/09/17 15:05:45.768, 600.04, 57390, 100, 83
2026/09/17 15:05:50.768, 600.00, 57390, 100, 84
